Pozo,Latitude,Longitude
IRIDE-2126,18.01009,-93.046356
IRIDE-2144,18.018946,-93.0519416
IRIDE-2154,18.036582,-93.052199
IRIDE-2156,18.038467,-93.055838
IRIDE-2166,18.043473,-93.065203
IRIDE-3124,18.027426,-93.056964
IRIDE-5108,17.996149,-93.0471024
IRIDE-5156,18.0411505,-93.0614213
IRIDE-6126,18.00995691,-93.04677181
IRIDE-6138,18.01177,-93.057492
IRIDE-7041,18.02732977,-93.05726739
ÍRIDE-7041,18.02806165,-93.05744603
JACINTO-1001,17.927361,-93.468726
JACINTO-1002A,17.927299,-93.469002
JACINTO-15,17.918169,-93.43115
JACINTO-2,17.91830801,-93.44536319
JACINTO-3A,17.909202,-93.431244
JOLOTE-101,17.98574514,-93.27058596
JOLOTE-103,17.98377523,-93.27061111
JOLOTE-21C,18.01513233,-93.30182678
JOLOTE-43,18.010042,-93.298764
JOSE COLOMO-10,17.964642,-92.473648
JOSE COLOMO-102,17.95871,-92.501369
JOSE COLOMO-109,17.955462,-92.514135
JOSE COLOMO-10D,17.964602,-92.47363
JOSE COLOMO-32,17.965617,-92.464248
JOSE COLOMO-414,17.957235,-92.468015
JOSE COLOMO-46,17.963747,-92.462901
JOSE COLOMO-47,17.959072,-92.469422
JOSE COLOMO-48,17.967191,-92.468048
JOSE COLOMO-49DI,17.962875,-92.469908
JOSE COLOMO-5,17.95622,-92.477447
JOSE COLOMO-50,17.96355,-92.483107
JOSE COLOMO-60,17.955189,-92.486889
JOSE COLOMO-70,17.969309,-92.467049
JOSE COLOMO-70D,17.969338,-92.46702
JOSE COLOMO-71,17.969781,-92.462351
JOSE COLOMO-77,17.965127,-92.468981
JOSE COLOMO-80,17.958858,-92.489724
JOSE COLOMO-82,17.959857,-92.480261
JOSE COLOMO-84,17.960793,-92.470886
JOSE COLOMO-84D,17.960835,-92.470869
JOSE COLOMO-85,17.961491,-92.4661
JOSE COLOMO-85D,17.961537,-92.466091
JOSE COLOMO-98,17.955098,-92.496311
JOSE COLOMO-99,17.957915,-92.499145
JUJ0-25,17.862926,-93.482029
JUJO-13A,17.876496,-93.490343
JUJO-16,17.862948,-93.514719
JUJO-18,17.858429,-93.522315
JUJO-23B,17.8597583,-93.4909212
JUJO-24,17.849379,-93.506559
JUJO-25,17.862926,-93.482029
JUJO-32,17.881687,-93.499415
JUJO-34,17.876514,-93.506542
JUJO-36A,17.871294,-93.512089
JUJO-38,17.867463,-93.522882
JUJO-502A,17.859058,-93.48994
JUJO-506,17.862949,-93.514719
JUJO-513A,17.8762962,-93.4902578
JUJO-522,17.853895,-93.498631
JUJO-524,17.853508,-93.515068
JUJO-52A,17.8897892,-93.5126347
JUJO-532,17.881688,-93.499548
JUJO-54,17.885465,-93.50775
JUJO-543,17.853844,-93.482049
JUJO-547,17.8627899,-93.4821227
JUJO-552,17.8883169,-93.5005579
JUJO-58,17.876495,-93.522869
JUJO-6,17.85369,-93.514936
JUJO-612,17.8718601,-93.4981839
JUJO-652,17.8883483,-93.5007035
JUJO-701,17.881525,-93.499245
JUJO-852,17.88545815,-93.5077498
JUJO-863,17.84040714,-93.49024971
JUSPI-1003,17.82790588,-93.24360672
JUSPI-1004,17.82707969,-93.2439725
JUSPI-1009,17.83426812,-93.20401532
JUSPI-1010,17.834388,-93.204213
JUSPI-101A,17.8342437,-93.20420356
LA CENTRAL-302,17.9163841,-93.85913362
LA CENTRAL-335,17.91705952,-93.84145848
LA CENTRAL-403,17.91685688,-93.84112379
LACAMANGO-109,17.907266,-94.343092
LACAMANGO-12,17.918319,-94.32961
LACAMANGO-135,17.911114,-94.349218
LACAMANGO-2,17.914707,-94.329546
LACAMANGO-21,17.912663,-94.326337
LACAMANGO-24,17.909281,-94.332928
LACAMANGO-26,17.907471,-94.336158
LACAMANGO-311,17.9092766,-94.338302
LACAMANGO-354,17.9103129,-94.338465
